
Model: AMCNet Num. Parameters: 462553

Training epochs..: 1it [00:33, 33.25s/it]
loss: 1.386883  [    0/2840000]


















































Training epochs..: 51it [08:59,  5.85s/it]
loss: 1.059046  [25600/2840000]


















































Training epochs..: 101it [13:33,  5.33s/it]
loss: 0.885230  [51200/2840000]


















































Training epochs..: 151it [17:56,  5.23s/it]
loss: 1.004453  [76800/2840000]

















































Training epochs..: 200it [22:16,  5.33s/it]
loss: 0.971309  [102400/2840000]



















































Training epochs..: 251it [26:45,  5.31s/it]
loss: 0.911887  [128000/2840000]

















































Training epochs..: 300it [31:06,  5.36s/it]
loss: 0.861467  [153600/2840000]


















































Training epochs..: 350it [35:31,  5.40s/it]
loss: 0.858966  [179200/2840000]



















































Training epochs..: 401it [40:01,  5.22s/it]
loss: 0.821708  [204800/2840000]


















































Training epochs..: 451it [44:25,  5.37s/it]
loss: 0.698146  [230400/2840000]

















































Training epochs..: 500it [48:47,  5.41s/it]
loss: 0.702940  [256000/2840000]



















































Training epochs..: 551it [53:19,  5.25s/it]
loss: 0.758384  [281600/2840000]


















































Training epochs..: 601it [57:44,  5.22s/it]
loss: 0.758956  [307200/2840000]

















































Training epochs..: 650it [1:02:00,  5.02s/it]
loss: 0.682252  [332800/2840000]


















































Training epochs..: 700it [1:06:09,  4.95s/it]
loss: 0.776796  [358400/2840000]



















































Training epochs..: 751it [1:10:21,  4.98s/it]
loss: 0.731691  [384000/2840000]


















































Training epochs..: 801it [1:14:29,  4.99s/it]
loss: 0.783085  [409600/2840000]

















































Training epochs..: 850it [1:18:32,  4.99s/it]
loss: 0.671864  [435200/2840000]


















































Training epochs..: 900it [1:22:39,  4.94s/it]
loss: 0.701679  [460800/2840000]















